C492333,-12.1126627,-77.0263381
C492334,-12.1244163,-77.030326
C492336,-12.1244163,-77.030326
C492339,-12.1113161,-76.997018
C492366,-12.1193348,-77.0292708
C492368,-12.1113223,-76.9971118
C492384,-12.1127349,-77.0298894
C492385,-12.1156003,-77.0284023
C492392,-12.1156003,-77.0284023
C492400,-12.1113223,-76.9971118
C492411,-12.1113223,-76.9971118
C492412,-12.1127349,-77.0298894
C492431,-12.1127349,-77.0298894
C492432,-12.1139458,-77.029694
C492433,-12.1139458,-77.029694
C492402,-12.1139458,-77.029694
C492443,-12.1287261,-77.0298435
C492435,-12.1112577,-76.9961217
C492418,-12.1127349,-77.0298894
C492444,-12.1127349,-77.0298894
C492405,-12.1127349,-77.0298894
C492445,-12.1112577,-76.9961217
C492406,-12.1127349,-77.0298894
C492422,-12.1127349,-77.0298894
C492451,-12.1139458,-77.029694
C492424,-12.1113223,-76.9971118
C492453,-12.1139458,-77.029694
C492447,-12.1139458,-77.029694
C492408,-12.0964764,-77.0718171
C492448,-12.1179598,-77.0360214
C492457,-12.142908,-77.0216147
C492450,-12.1138207,-77.0303316
C492471,-12.1127349,-77.0298894
C492472,-12.1127349,-77.0298894
C492473,-12.1127349,-77.0298894
C492475,-12.1127349,-77.0298894
C492466,-12.1279172,-77.0296565
C492476,-12.1170754,-77.0291697
C492477,-12.1127349,-77.0298894
C492478,-12.1127349,-77.0298894
C492467,-12.1127349,-77.0298894
C492468,-12.1159414,-77.029693
C492469,-12.1127349,-77.0298894
C492479,-12.1127349,-77.0298894
C492496,-12.1112577,-76.9961217
C492480,-12.1127349,-77.0298894
C492497,-12.1127349,-77.0298894
C492486,-12.1190616,-77.0269093
C492499,-12.119198,-77.0272353
C492488,-12.1190417,-77.028369
C492489,-12.1180186,-77.0305233
C531101,-12.1139458,-77.029694
C531102,-12.1243927,-77.0296989
C531111,-12.1194023,-77.0260813
C531103,-12.1271867,-77.0296115
C531112,-12.1181229,-77.0292678
C531121,-12.1139458,-77.029694
C531124,-12.1185951,-77.0431201
C531134,-12.1157932,-77.0295873
C531135,-12.1671185,-76.977854
C531125,-12.1181229,-77.0292678
C531104,-12.1190417,-77.028369
C531105,-12.1157932,-77.0295873
C492490,-12.1134593,-77.0287708
C531113,-12.1112577,-76.9961217
C531114,-12.1112577,-76.9961217
C531106,-12.1250536,-77.0256068
C531116,-12.1250536,-77.0256068
C531108,-12.0851439,-77.0778896
C531117,-12.0851439,-77.0778896
C531110,-12.1144785,-77.0294467
C531171,-12.1180258,-77.0263672
C531118,-12.1139458,-77.029694
C531119,-12.1139458,-77.029694
C531172,-12.1112577,-76.9961217
C531120,-12.1181611,-77.0281749
C531173,-12.1190417,-77.028369
C531174,-12.1262732,-77.0186102
C531161,-12.1262732,-77.0186102
C531127,-12.1135905,-77.0488076
C531128,-12.1170754,-77.0291697
